"1/1/2014","2014"
"1/1/2015","late"
"1/1/2016","late"
"1/1/2019","never"
"1/10/2019","never"
"2/1/2015","late"
"4/1/2014","2014"
"7/1/2016","late"
"8/15/2014","2014"
"9/1/2015","late"
"Early expansion: 03/1/2010, 1/1/2014*","early"
"Early expansion: 04/14/2011, 1/1/2014*","early"
"Early expansion: 1/3/2011, 1/1/2014*","early"
"Early expansion: 11/1/2010,  1/1/2014*","early"
"Early expansion: 4/1/2010, 1/1/2014*","early"
"approved; TBD","never"
"not implemented","never"
