"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"87 years"	"87"	97	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	102	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	67	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	58	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	34	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	41	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	20	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	18	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	15	Not Applicable	Not Applicable
	"1999"	"1999"	"96 years"	"96"	9	Not Applicable	Not Applicable
	"1999"	"1999"	"97 years"	"97"	8	Not Applicable	Not Applicable
	"1999"	"1999"	"98 years"	"98"	2	Not Applicable	Not Applicable
	"1999"	"1999"	"99 years"	"99"	1	Not Applicable	Not Applicable
	"1999"	"1999"	"100+ years"	"100"	0	Not Applicable	Not Applicable
	"1999"	"1999"	"Not Stated"	"NS"	6	Not Applicable	Not Applicable
	"2000"	"2000"	"< 1 year"	"0"	0	2265371	Unreliable
	"2000"	"2000"	"1 year"	"1"	0	2297769	Unreliable
	"2000"	"2000"	"2 years"	"2"	0	2279665	Unreliable
	"2000"	"2000"	"3 years"	"3"	0	2317714	Unreliable
	"2000"	"2000"	"4 years"	"4"	0	2383016	Unreliable
	"2000"	"2000"	"5 years"	"5"	0	2408904	Unreliable
	"2000"	"2000"	"6 years"	"6"	0	2445070	Unreliable
	"2000"	"2000"	"7 years"	"7"	0	2516300	Unreliable
	"2000"	"2000"	"8 years"	"8"	1	2581102	Unreliable
	"2000"	"2000"	"9 years"	"9"	4	2661122	Unreliable
	"2000"	"2000"	"10 years"	"10"	7	2689390	Unreliable
	"2000"	"2000"	"11 years"	"11"	17	2619501	Unreliable
	"2000"	"2000"	"12 years"	"12"	35	2614132	1.3
	"2000"	"2000"	"13 years"	"13"	65	2594898	2.5
	"2000"	"2000"	"14 years"	"14"	96	2636304	3.6
	"2000"	"2000"	"15 years"	"15"	134	2618773	5.1
	"2000"	"2000"	"16 years"	"16"	215	2573895	8.4
	"2000"	"2000"	"17 years"	"17"	242	2600742	9.3
	"2000"	"2000"	"18 years"	"18"	277	2585771	10.7
	"2000"	"2000"	"19 years"	"19"	307	2624597	11.7
	"2000"	"2000"	"20 years"	"20"	320	2549206	12.6
	"2000"	"2000"	"21 years"	"21"	366	2408308	15.2
	"2000"	"2000"	"22 years"	"22"	348	2345002	14.8
	"2000"	"2000"	"23 years"	"23"	339	2271061	14.9
	"2000"	"2000"	"24 years"	"24"	320	2234100	14.3
	"2000"	"2000"	"25 years"	"25"	322	2312108	13.9
	"2000"	"2000"	"26 years"	"26"	321	2234376	14.4
	"2000"	"2000"	"27 years"	"27"	358	2347266	15.3
	"2000"	"2000"	"28 years"	"28"	338	2536294	13.3
	"2000"	"2000"	"29 years"	"29"	370	2754583	13.4
	"2000"	"2000"	"30 years"	"30"	396	2797987	14.2
	"2000"	"2000"	"31 years"	"31"	381	2638336	14.4
	"2000"	"2000"	"32 years"	"32"	374	2625811	14.2
	"2000"	"2000"	"33 years"	"33"	379	2688488	14.1
	"2000"	"2000"	"34 years"	"34"	419	2799995	15.0
	"2000"	"2000"	"35 years"	"35"	468	3073879	15.2
	"2000"	"2000"	"36 years"	"36"	511	3118512	16.4
	"2000"	"2000"	"37 years"	"37"	494	3152092	15.7
	"2000"	"2000"	"38 years"	"38"	568	3230214	17.6
	"2000"	"2000"	"39 years"	"39"	558	3284304	17.0
	"2000"	"2000"	"40 years"	"40"	626	3362435	18.6
	"2000"	"2000"	"41 years"	"41"	577	3237562	17.8
	"2000"	"2000"	"42 years"	"42"	590	3317380	17.8
	"2000"	"2000"	"43 years"	"43"	550	3231386	17.0
	"2000"	"2000"	"44 years"	"44"	598	3168882	18.9
	"2000"	"2000"	"45 years"	"45"	579	3207271	18.1
	"2000"	"2000"	"46 years"	"46"	500	3057374	16.4
	"2000"	"2000"	"47 years"	"47"	538	3025064	17.8
	"2000"	"2000"	"48 years"	"48"	496	2946150	16.8
