"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"2003"	"2003"	"13 years"	"13"	43	2719084	1.6
	"2003"	"2003"	"14 years"	"14"	72	2636730	2.7
	"2003"	"2003"	"15 years"	"15"	129	2617532	4.9
	"2003"	"2003"	"16 years"	"16"	168	2608875	6.4
	"2003"	"2003"	"17 years"	"17"	202	2625671	7.7
	"2003"	"2003"	"18 years"	"18"	250	2646708	9.4
	"2003"	"2003"	"19 years"	"19"	339	2572902	13.2
	"2003"	"2003"	"20 years"	"20"	335	2577670	13.0
	"2003"	"2003"	"21 years"	"21"	378	2564992	14.7
	"2003"	"2003"	"22 years"	"22"	337	2570200	13.1
	"2003"	"2003"	"23 years"	"23"	356	2528060	14.1
	"2003"	"2003"	"24 years"	"24"	338	2395281	14.1
	"2003"	"2003"	"25 years"	"25"	327	2322361	14.1
	"2003"	"2003"	"26 years"	"26"	324	2269698	14.3
	"2003"	"2003"	"27 years"	"27"	322	2200588	14.6
	"2003"	"2003"	"28 years"	"28"	327	2285058	14.3
	"2003"	"2003"	"29 years"	"29"	347	2211533	15.7
	"2003"	"2003"	"30 years"	"30"	373	2306127	16.2
	"2003"	"2003"	"31 years"	"31"	406	2467745	16.5
	"2003"	"2003"	"32 years"	"32"	487	2708588	18.0
	"2003"	"2003"	"33 years"	"33"	432	2789609	15.5
	"2003"	"2003"	"34 years"	"34"	466	2665830	17.5
	"2003"	"2003"	"35 years"	"35"	425	2617698	16.2
	"2003"	"2003"	"36 years"	"36"	431	2671381	16.1
	"2003"	"2003"	"37 years"	"37"	494	2753830	17.9
	"2003"	"2003"	"38 years"	"38"	532	2994375	17.8
	"2003"	"2003"	"39 years"	"39"	534	3103472	17.2
	"2003"	"2003"	"40 years"	"40"	569	3129405	18.2
	"2003"	"2003"	"41 years"	"41"	635	3191913	19.9
	"2003"	"2003"	"42 years"	"42"	642	3266468	19.7
	"2003"	"2003"	"43 years"	"43"	653	3314911	19.7
	"2003"	"2003"	"44 years"	"44"	648	3226603	20.1
	"2003"	"2003"	"45 years"	"45"	641	3260376	19.7
	"2003"	"2003"	"46 years"	"46"	638	3251902	19.6
	"2003"	"2003"	"47 years"	"47"	597	3139918	19.0
	"2003"	"2003"	"48 years"	"48"	582	3167433	18.4
	"2003"	"2003"	"49 years"	"49"	624	3073970	20.3
	"2003"	"2003"	"50 years"	"50"	592	2991058	19.8
	"2003"	"2003"	"51 years"	"51"	565	2924026	19.3
	"2003"	"2003"	"52 years"	"52"	526	2842984	18.5
	"2003"	"2003"	"53 years"	"53"	508	2830433	17.9
	"2003"	"2003"	"54 years"	"54"	501	2778432	18.0
	"2003"	"2003"	"55 years"	"55"	457	2784090	16.4
	"2003"	"2003"	"56 years"	"56"	491	3006869	16.3
	"2003"	"2003"	"57 years"	"57"	372	2176329	17.1
	"2003"	"2003"	"58 years"	"58"	413	2182493	18.9
	"2003"	"2003"	"59 years"	"59"	352	2177408	16.2
	"2003"	"2003"	"60 years"	"60"	351	2276941	15.4
	"2003"	"2003"	"61 years"	"61"	307	2004083	15.3
	"2003"	"2003"	"62 years"	"62"	261	1848662	14.1
	"2003"	"2003"	"63 years"	"63"	237	1785792	13.3
	"2003"	"2003"	"64 years"	"64"	221	1712681	12.9
	"2003"	"2003"	"65 years"	"65"	230	1680807	13.7
	"2003"	"2003"	"66 years"	"66"	193	1582262	12.2
	"2003"	"2003"	"67 years"	"67"	223	1553925	14.4
	"2003"	"2003"	"68 years"	"68"	200	1552948	12.9
	"2003"	"2003"	"69 years"	"69"	197	1426857	13.8
	"2003"	"2003"	"70 years"	"70"	196	1429685	13.7
	"2003"	"2003"	"71 years"	"71"	193	1429653	13.5
	"2003"	"2003"	"72 years"	"72"	208	1422403	14.6
	"2003"	"2003"	"73 years"	"73"	238	1431948	16.6
	"2003"	"2003"	"74 years"	"74"	232	1357644	17.1
	"2003"	"2003"	"75 years"	"75"	241	1346400	17.9
	"2003"	"2003"	"76 years"	"76"	219	1312209	16.7
	"2003"	"2003"	"77 years"	"77"	196	1250715	15.7
	"2003"	"2003"	"78 years"	"78"	218	1229162	17.7
	"2003"	"2003"	"79 years"	"79"	205	1161864	17.6
	"2003"	"2003"	"80 years"	"80"	203	1075205	18.9
	"2003"	"2003"	"81 years"	"81"	208	1028009	20.2
	"2003"	"2003"	"82 years"	"82"	195	952866	20.5
	"2003"	"2003"	"83 years"	"83"	160	857652	18.7
	"2003"	"2003"	"84 years"	"84"	135	731689	18.5
	"2003"	"2003"	"85 years"	"85"	138	Not Applicable	Not Applicable
	"2003"	"2003"	"86 years"	"86"	109	Not Applicable	Not Applicable
	"2003"	"2003"	"87 years"	"87"	92	Not Applicable	Not Applicable
	"2003"	"2003"	"88 years"	"88"	96	Not Applicable	Not Applicable
	"2003"	"2003"	"89 years"	"89"	83	Not Applicable	Not Applicable
	"2003"	"2003"	"90 years"	"90"	62	Not Applicable	Not Applicable
	"2003"	"2003"	"91 years"	"91"	50	Not Applicable	Not Applicable
	"2003"	"2003"	"92 years"	"92"	37	Not Applicable	Not Applicable
	"2003"	"2003"	"93 years"	"93"	30	Not Applicable	Not Applicable
	"2003"	"2003"	"94 years"	"94"	20	Not Applicable	Not Applicable
	"2003"	"2003"	"95 years"	"95"	11	Not Applicable	Not Applicable
	"2003"	"2003"	"96 years"	"96"	8	Not Applicable	Not Applicable
	"2003"	"2003"	"97 years"	"97"	7	Not Applicable	Not Applicable
	"2003"	"2003"	"98 years"	"98"	3	Not Applicable	Not Applicable
	"2003"	"2003"	"99 years"	"99"	2	Not Applicable	Not Applicable
	"2003"	"2003"	"100+ years"	"100"	1	Not Applicable	Not Applicable
	"2003"	"2003"	"Not Stated"	"NS"	2	Not Applicable	Not Applicable
	"2004"	"2004"	"< 1 year"	"0"	0	2252891	Unreliable
	"2004"	"2004"	"1 year"	"1"	0	2234697	Unreliable
	"2004"	"2004"	"2 years"	"2"	0	2233596	Unreliable
	"2004"	"2004"	"3 years"	"3"	0	2295478	Unreliable
	"2004"	"2004"	"4 years"	"4"	0	2258919	Unreliable
	"2004"	"2004"	"5 years"	"5"	0	2266918	Unreliable
	"2004"	"2004"	"6 years"	"6"	0	2264385	Unreliable
	"2004"	"2004"	"7 years"	"7"	0	2290919	Unreliable
	"2004"	"2004"	"8 years"	"8"	1	2352741	Unreliable
	"2004"	"2004"	"9 years"	"9"	0	2400599	Unreliable
	"2004"	"2004"	"10 years"	"10"	7	2468128	Unreliable
	"2004"	"2004"	"11 years"	"11"	8	2513283	Unreliable
	"2004"	"2004"	"12 years"	"12"	19	2588845	Unreliable
	"2004"	"2004"	"13 years"	"13"	59	2650842	2.2
	"2004"	"2004"	"14 years"	"14"	86	2708688	3.2
	"2004"	"2004"	"15 years"	"15"	119	2644032	4.5
	"2004"	"2004"	"16 years"	"16"	208	2619424	7.9
	"2004"	"2004"	"17 years"	"17"	211	2600786	8.1
	"2004"	"2004"	"18 years"	"18"	311	2627899	11.8
	"2004"	"2004"	"19 years"	"19"	362	2643419	13.7
	"2004"	"2004"	"20 years"	"20"	311	2552767	12.2
	"2004"	"2004"	"21 years"	"21"	372	2570203	14.5
	"2004"	"2004"	"22 years"	"22"	391	2547304	15.3
	"2004"	"2004"	"23 years"	"23"	393	2558145	15.4
	"2004"	"2004"	"24 years"	"24"	367	2518394	14.6
	"2004"	"2004"	"25 years"	"25"	343	2397899	14.3
	"2004"	"2004"	"26 years"	"26"	345	2307325	15.0
	"2004"	"2004"	"27 years"	"27"	338	2272820	14.9
	"2004"	"2004"	"28 years"	"28"	335	2195230	15.3
	"2004"	"2004"	"29 years"	"29"	346	2265183	15.3
	"2004"	"2004"	"30 years"	"30"	330	2237329	14.7
	"2004"	"2004"	"31 years"	"31"	388	2289531	16.9
	"2004"	"2004"	"32 years"	"32"	409	2490006	16.4
	"2004"	"2004"	"33 years"	"33"	462	2709261	17.1
	"2004"	"2004"	"34 years"	"34"	451	2789601	16.2
	"2004"	"2004"	"35 years"	"35"	456	2670244	17.1
	"2004"	"2004"	"36 years"	"36"	427	2615374	16.3
	"2004"	"2004"	"37 years"	"37"	486	2664973	18.2
	"2004"	"2004"	"38 years"	"38"	479	2751056	17.4
	"2004"	"2004"	"39 years"	"39"	556	2995824	18.6
	"2004"	"2004"	"40 years"	"40"	606	3091828	19.6
	"2004"	"2004"	"41 years"	"41"	614	3131575	19.6
	"2004"	"2004"	"42 years"	"42"	656	3183123	20.6
	"2004"	"2004"	"43 years"	"43"	627	3261763	19.2
	"2004"	"2004"	"44 years"	"44"	691	3296003	21.0
	"2004"	"2004"	"45 years"	"45"	645	3211340	20.1
	"2004"	"2004"	"46 years"	"46"	654	3259602	20.1
	"2004"	"2004"	"47 years"	"47"	681	3247694	21.0
	"2004"	"2004"	"48 years"	"48"	663	3126881	21.2
	"2004"	"2004"	"49 years"	"49"	626	3164386	19.8
	"2004"	"2004"	"50 years"	"50"	618	3054462	20.2
	"2004"	"2004"	"51 years"	"51"	575	2993658	19.2
	"2004"	"2004"	"52 years"	"52"	563	2907257	19.4
	"2004"	"2004"	"53 years"	"53"	530	2838630	18.7
	"2004"	"2004"	"54 years"	"54"	546	2825480	19.3
	"2004"	"2004"	"55 years"	"55"	448	2755111	16.3
	"2004"	"2004"	"56 years"	"56"	448	2782852	16.1
	"2004"	"2004"	"57 years"	"57"	462	2988165	15.5
	"2004"	"2004"	"58 years"	"58"	367	2165840	16.9
	"2004"	"2004"	"59 years"	"59"	363	2166099	16.8
	"2004"	"2004"	"60 years"	"60"	354	2150125	16.5
	"2004"	"2004"	"61 years"	"61"	366	2272988	16.1
	"2004"	"2004"	"62 years"	"62"	277	1986941	13.9
	"2004"	"2004"	"63 years"	"63"	258	1833791	14.1
	"2004"	"2004"	"64 years"	"64"	241	1762766	13.7
	"2004"	"2004"	"65 years"	"65"	224	1693985	13.2
	"2004"	"2004"	"66 years"	"66"	219	1658562	13.2
	"2004"	"2004"	"67 years"	"67"	196	1561058	12.6
	"2004"	"2004"	"68 years"	"68"	188	1528805	12.3
	"2004"	"2004"	"69 years"	"69"	195	1524756	12.8
	"2004"	"2004"	"70 years"	"70"	190	1392303	13.6
	"2004"	"2004"	"71 years"	"71"	213	1403899	15.2
	"2004"	"2004"	"72 years"	"72"	197	1391658	14.2
	"2004"	"2004"	"73 years"	"73"	211	1385054	15.2
	"2004"	"2004"	"74 years"	"74"	210	1385864	15.2
	"2004"	"2004"	"75 years"	"75"	258	1306005	19.8
	"2004"	"2004"	"76 years"	"76"	218	1302920	16.7
	"2004"	"2004"	"77 years"	"77"	213	1257902	16.9
	"2004"	"2004"	"78 years"	"78"	204	1195963	17.1
	"2004"	"2004"	"79 years"	"79"	214	1169302	18.3
	"2004"	"2004"	"80 years"	"80"	175	1094858	16.0
	"2004"	"2004"	"81 years"	"81"	171	1014962	16.8
	"2004"	"2004"	"82 years"	"82"	209	957882	21.8
	"2004"	"2004"	"83 years"	"83"	147	885117	16.6
	"2004"	"2004"	"84 years"	"84"	145	785666	18.5
	"2004"	"2004"	"85 years"	"85"	135	Not Applicable	Not Applicable
	"2004"	"2004"	"86 years"	"86"	123	Not Applicable	Not Applicable
	"2004"	"2004"	"87 years"	"87"	113	Not Applicable	Not Applicable
	"2004"	"2004"	"88 years"	"88"	83	Not Applicable	Not Applicable
	"2004"	"2004"	"89 years"	"89"	71	Not Applicable	Not Applicable
	"2004"	"2004"	"90 years"	"90"	52	Not Applicable	Not Applicable
	"2004"	"2004"	"91 years"	"91"	51	Not Applicable	Not Applicable
	"2004"	"2004"	"92 years"	"92"	32	Not Applicable	Not Applicable
	"2004"	"2004"	"93 years"	"93"	34	Not Applicable	Not Applicable
	"2004"	"2004"	"94 years"	"94"	16	Not Applicable	Not Applicable
	"2004"	"2004"	"95 years"	"95"	19	Not Applicable	Not Applicable
	"2004"	"2004"	"96 years"	"96"	2	Not Applicable	Not Applicable
	"2004"	"2004"	"97 years"	"97"	5	Not Applicable	Not Applicable
	"2004"	"2004"	"98 years"	"98"	4	Not Applicable	Not Applicable
	"2004"	"2004"	"99 years"	"99"	3	Not Applicable	Not Applicable
	"2004"	"2004"	"100+ years"	"100"	5	Not Applicable	Not Applicable
	"2004"	"2004"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
	"2005"	"2005"	"< 1 year"	"0"	0	2203849	Unreliable
	"2005"	"2005"	"1 year"	"1"	0	2233580	Unreliable
	"2005"	"2005"	"2 years"	"2"	0	2231077	Unreliable
	"2005"	"2005"	"3 years"	"3"	0	2233298	Unreliable
	"2005"	"2005"	"4 years"	"4"	0	2298648	Unreliable
	"2005"	"2005"	"5 years"	"5"	0	2261425	Unreliable
	"2005"	"2005"	"6 years"	"6"	0	2257435	Unreliable
	"2005"	"2005"	"7 years"	"7"	0	2265282	Unreliable
	"2005"	"2005"	"8 years"	"8"	0	2290033	Unreliable
	"2005"	"2005"	"9 years"	"9"	1	2357083	Unreliable
	"2005"	"2005"	"10 years"	"10"	4	2452760	Unreliable
	"2005"	"2005"	"11 years"	"11"	16	2452994	Unreliable
	"2005"	"2005"	"12 years"	"12"	16	2526724	Unreliable
	"2005"	"2005"	"13 years"	"13"	47	2585283	1.8
	"2005"	"2005"	"14 years"	"14"	86	2637527	3.3
	"2005"	"2005"	"15 years"	"15"	135	2718050	5.0
	"2005"	"2005"	"16 years"	"16"	169	2646128	6.4
	"2005"	"2005"	"17 years"	"17"	231	2609175	8.9
	"2005"	"2005"	"18 years"	"18"	291	2603717	11.2
	"2005"	"2005"	"19 years"	"19"	334	2625586	12.7
	"2005"	"2005"	"20 years"	"20"	337	2616212	12.9
	"2005"	"2005"	"21 years"	"21"	391	2541468	15.4
	"2005"	"2005"	"22 years"	"22"	352	2545849	13.8
	"2005"	"2005"	"23 years"	"23"	385	2529489	15.2
	"2005"	"2005"	"24 years"	"24"	367	2543860	14.4
	"2005"	"2005"	"25 years"	"25"	374	2520146	14.8
	"2005"	"2005"	"26 years"	"26"	340	2376321	14.3
	"2005"	"2005"	"27 years"	"27"	359	2310289	15.5
	"2005"	"2005"	"28 years"	"28"	320	2264340	14.1
	"2005"	"2005"	"29 years"	"29"	305	2170999	14.0
	"2005"	"2005"	"30 years"	"30"	374	2298077	16.3
	"2005"	"2005"	"31 years"	"31"	363	2216084	16.4
	"2005"	"2005"	"32 years"	"32"	408	2314600	17.6
	"2005"	"2005"	"33 years"	"33"	410	2489749	16.5
	"2005"	"2005"	"34 years"	"34"	455	2707936	16.8
	"2005"	"2005"	"35 years"	"35"	492	2793448	17.6
	"2005"	"2005"	"36 years"	"36"	418	2665434	15.7
	"2005"	"2005"	"37 years"	"37"	430	2606121	16.5
	"2005"	"2005"	"38 years"	"38"	491	2660721	18.5
	"2005"	"2005"	"39 years"	"39"	507	2752263	18.4
	"2005"	"2005"	"40 years"	"40"	552	2981945	18.5
	"2005"	"2005"	"41 years"	"41"	606	3095074	19.6
	"2005"	"2005"	"42 years"	"42"	642	3121218	20.6
	"2005"	"2005"	"43 years"	"43"	622	3178592	19.6
	"2005"	"2005"	"44 years"	"44"	674	3239832	20.8
	"2005"	"2005"	"45 years"	"45"	697	3279109	21.3
	"2005"	"2005"	"46 years"	"46"	656	3213100	20.4
	"2005"	"2005"	"47 years"	"47"	679	3256810	20.8
	"2005"	"2005"	"48 years"	"48"	662	3233329	20.5
	"2005"	"2005"	"49 years"	"49"	619	3125276	19.8
	"2005"	"2005"	"50 years"	"50"	577	3142036	18.4
	"2005"	"2005"	"51 years"	"51"	586	3060766	19.1
	"2005"	"2005"	"52 years"	"52"	612	2974797	20.6
	"2005"	"2005"	"53 years"	"53"	584	2904535	20.1
	"2005"	"2005"	"54 years"	"54"	536	2834842	18.9
	"2005"	"2005"	"55 years"	"55"	496	2799121	17.7
	"2005"	"2005"	"56 years"	"56"	464	2757550	16.8
	"2005"	"2005"	"57 years"	"57"	440	2764970	15.9
	"2005"	"2005"	"58 years"	"58"	481	2975154	16.2
	"2005"	"2005"	"59 years"	"59"	360	2148982	16.8
	"2005"	"2005"	"60 years"	"60"	353	2137023	16.5
	"2005"	"2005"	"61 years"	"61"	346	2150869	16.1
	"2005"	"2005"	"62 years"	"62"	328	2253816	14.6
	"2005"	"2005"	"63 years"	"63"	289	1971762	14.7
	"2005"	"2005"	"64 years"	"64"	265	1809170	14.6
	"2005"	"2005"	"65 years"	"65"	227	1744946	13.0
	"2005"	"2005"	"66 years"	"66"	225	1672400	13.5
	"2005"	"2005"	"67 years"	"67"	212	1637647	12.9
	"2005"	"2005"	"68 years"	"68"	218	1536053	14.2
	"2005"	"2005"	"69 years"	"69"	212	1501504	14.1
	"2005"	"2005"	"70 years"	"70"	193	1487506	13.0
	"2005"	"2005"	"71 years"	"71"	197	1369276	14.4
	"2005"	"2005"	"72 years"	"72"	205	1366720	15.0
	"2005"	"2005"	"73 years"	"73"	222	1356343	16.4
	"2005"	"2005"	"74 years"	"74"	226	1340522	16.9
	"2005"	"2005"	"75 years"	"75"	202	1332803	15.2
	"2005"	"2005"	"76 years"	"76"	218	1266474	17.2
	"2005"	"2005"	"77 years"	"77"	210	1249762	16.8
	"2005"	"2005"	"78 years"	"78"	213	1204557	17.7
	"2005"	"2005"	"79 years"	"79"	203	1138757	17.8
	"2005"	"2005"	"80 years"	"80"	197	1102159	17.9
	"2005"	"2005"	"81 years"	"81"	196	1036231	18.9
	"2005"	"2005"	"82 years"	"82"	225	946951	23.8
	"2005"	"2005"	"83 years"	"83"	197	891490	22.1
	"2005"	"2005"	"84 years"	"84"	176	812450	21.7
	"2005"	"2005"	"85 years"	"85"	143	Not Applicable	Not Applicable
	"2005"	"2005"	"86 years"	"86"	134	Not Applicable	Not Applicable
	"2005"	"2005"	"87 years"	"87"	103	Not Applicable	Not Applicable
	"2005"	"2005"	"88 years"	"88"	88	Not Applicable	Not Applicable
	"2005"	"2005"	"89 years"	"89"	83	Not Applicable	Not Applicable
	"2005"	"2005"	"90 years"	"90"	65	Not Applicable	Not Applicable
	"2005"	"2005"	"91 years"	"91"	46	Not Applicable	Not Applicable
	"2005"	"2005"	"92 years"	"92"	43	Not Applicable	Not Applicable
	"2005"	"2005"	"93 years"	"93"	25	Not Applicable	Not Applicable
	"2005"	"2005"	"94 years"	"94"	23	Not Applicable	Not Applicable
	"2005"	"2005"	"95 years"	"95"	18	Not Applicable	Not Applicable
	"2005"	"2005"	"96 years"	"96"	11	Not Applicable	Not Applicable
	"2005"	"2005"	"97 years"	"97"	7	Not Applicable	Not Applicable
	"2005"	"2005"	"98 years"	"98"	4	Not Applicable	Not Applicable
	"2005"	"2005"	"99 years"	"99"	1	Not Applicable	Not Applicable
	"2005"	"2005"	"100+ years"	"100"	2	Not Applicable	Not Applicable
	"2005"	"2005"	"Not Stated"	"NS"	1	Not Applicable	Not Applicable
	"2006"	"2006"	"< 1 year"	"0"	0	2191820	Unreliable
	"2006"	"2006"	"1 year"	"1"	0	2183097	Unreliable
	"2006"	"2006"	"2 years"	"2"	0	2231121	Unreliable
	"2006"	"2006"	"3 years"	"3"	0	2232490	Unreliable
	"2006"	"2006"	"4 years"	"4"	0	2238577	Unreliable
	"2006"	"2006"	"5 years"	"5"	0	2302889	Unreliable
	"2006"	"2006"	"6 years"	"6"	0	2251158	Unreliable
	"2006"	"2006"	"7 years"	"7"	0	2259829	Unreliable
	"2006"	"2006"	"8 years"	"8"	1	2265424	Unreliable
	"2006"	"2006"	"9 years"	"9"	1	2296116	Unreliable
	"2006"	"2006"	"10 years"	"10"	1	2418988	Unreliable
	"2006"	"2006"	"11 years"	"11"	7	2433644	Unreliable
	"2006"	"2006"	"12 years"	"12"	20	2468306	0.8
	"2006"	"2006"	"13 years"	"13"	40	2521791	1.6
	"2006"	"2006"	"14 years"	"14"	73	2569301	2.8
	"2006"	"2006"	"15 years"	"15"	131	2648473	4.9
	"2006"	"2006"	"16 years"	"16"	168	2720295	6.2
	"2006"	"2006"	"17 years"	"17"	220	2633659	8.4
	"2006"	"2006"	"18 years"	"18"	252	2612845	9.6
	"2006"	"2006"	"19 years"	"19"	327	2600814	12.6
	"2006"	"2006"	"20 years"	"20"	323	2594444	12.4
	"2006"	"2006"	"21 years"	"21"	389	2604432	14.9
	"2006"	"2006"	"22 years"	"22"	358	2514264	14.2
	"2006"	"2006"	"23 years"	"23"	376	2527641	14.9
	"2006"	"2006"	"24 years"	"24"	400	2515956	15.9
	"2006"	"2006"	"25 years"	"25"	421	2550213	16.5
	"2006"	"2006"	"26 years"	"26"	382	2496884	15.3
	"2006"	"2006"	"27 years"	"27"	368	2383068	15.4
	"2006"	"2006"	"28 years"	"28"	356	2302957	15.5
	"2006"	"2006"	"29 years"	"29"	343	2236656	15.3
	"2006"	"2006"	"30 years"	"30"	347	2211910	15.7
	"2006"	"2006"	"31 years"	"31"	363	2273593	16.0
	"2006"	"2006"	"32 years"	"32"	330	2247128	14.7
	"2006"	"2006"	"33 years"	"33"	378	2315251	16.3
	"2006"	"2006"	"34 years"	"34"	401	2490459	16.1
	"2006"	"2006"	"35 years"	"35"	506	2714499	18.6
	"2006"	"2006"	"36 years"	"36"	479	2788656	17.2
	"2006"	"2006"	"37 years"	"37"	505	2655969	19.0
	"2006"	"2006"	"38 years"	"38"	512	2603193	19.7
	"2006"	"2006"	"39 years"	"39"	552	2664040	20.7
	"2006"	"2006"	"40 years"	"40"	504	2739173	18.4
	"2006"	"2006"	"41 years"	"41"	560	2988789	18.7
	"2006"	"2006"	"42 years"	"42"	605	3085359	19.6
	"2006"	"2006"	"43 years"	"43"	619	3118032	19.9
	"2006"	"2006"	"44 years"	"44"	666	3155326	21.1
	"2006"	"2006"	"45 years"	"45"	656	3222835	20.4
	"2006"	"2006"	"46 years"	"46"	712	3284351	21.7
	"2006"	"2006"	"47 years"	"47"	709	3212288	22.1
	"2006"	"2006"	"48 years"	"48"	659	3242020	20.3
	"2006"	"2006"	"49 years"	"49"	688	3234204	21.3
	"2006"	"2006"	"50 years"	"50"	660	3100862	21.3
	"2006"	"2006"	"51 years"	"51"	683	3152546	21.7
	"2006"	"2006"	"52 years"	"52"	666	3039993	21.9
	"2006"	"2006"	"53 years"	"53"	625	2974095	21.0
	"2006"	"2006"	"54 years"	"54"	556	2901996	19.2
	"2006"	"2006"	"55 years"	"55"	573	2805334	20.4
	"2006"	"2006"	"56 years"	"56"	504	2805200	18.0
	"2006"	"2006"	"57 years"	"57"	483	2739205	17.6
	"2006"	"2006"	"58 years"	"58"	492	2753611	17.9
	"2006"	"2006"	"59 years"	"59"	499	2951987	16.9
	"2006"	"2006"	"60 years"	"60"	390	2117514	18.4
	"2006"	"2006"	"61 years"	"61"	342	2142506	16.0
	"2006"	"2006"	"62 years"	"62"	295	2133591	13.8
	"2006"	"2006"	"63 years"	"63"	316	2238005	14.1
	"2006"	"2006"	"64 years"	"64"	273	1944937	14.0
	"2006"	"2006"	"65 years"	"65"	236	1791848	13.2
	"2006"	"2006"	"66 years"	"66"	281	1723565	16.3
	"2006"	"2006"	"67 years"	"67"	222	1652285	13.4
	"2006"	"2006"	"68 years"	"68"	244	1612364	15.1
	"2006"	"2006"	"69 years"	"69"	200	1509090	13.3
	"2006"	"2006"	"70 years"	"70"	197	1463914	13.5
	"2006"	"2006"	"71 years"	"71"	185	1465926	12.6
	"2006"	"2006"	"72 years"	"72"	201	1333101	15.1
	"2006"	"2006"	"73 years"	"73"	200	1333576	15.0
	"2006"	"2006"	"74 years"	"74"	201	1313135	15.3
	"2006"	"2006"	"75 years"	"75"	237	1288878	18.4
	"2006"	"2006"	"76 years"	"76"	214	1295921	16.5
	"2006"	"2006"	"77 years"	"77"	207	1215804	17.0
	"2006"	"2006"	"78 years"	"78"	208	1198620	17.4
	"2006"	"2006"	"79 years"	"79"	200	1148818	17.4
	"2006"	"2006"	"80 years"	"80"	211	1073775	19.7
	"2006"	"2006"	"81 years"	"81"	189	1046370	18.1
	"2006"	"2006"	"82 years"	"82"	176	968328	18.2
	"2006"	"2006"	"83 years"	"83"	163	884236	18.4
	"2006"	"2006"	"84 years"	"84"	125	819524	15.3
	"2006"	"2006"	"85 years"	"85"	153	Not Applicable	Not Applicable
	"2006"	"2006"	"86 years"	"86"	123	Not Applicable	Not Applicable
	"2006"	"2006"	"87 years"	"87"	105	Not Applicable	Not Applicable
	"2006"	"2006"	"88 years"	"88"	102	Not Applicable	Not Applicable
	"2006"	"2006"	"89 years"	"89"	76	Not Applicable	Not Applicable
	"2006"	"2006"	"90 years"	"90"	58	Not Applicable	Not Applicable
	"2006"	"2006"	"91 years"	"91"	44	Not Applicable	Not Applicable
	"2006"	"2006"	"92 years"	"92"	50	Not Applicable	Not Applicable
	"2006"	"2006"	"93 years"	"93"	28	Not Applicable	Not Applicable
	"2006"	"2006"	"94 years"	"94"	17	Not Applicable	Not Applicable
	"2006"	"2006"	"95 years"	"95"	11	Not Applicable	Not Applicable
	"2006"	"2006"	"96 years"	"96"	6	Not Applicable	Not Applicable
	"2006"	"2006"	"97 years"	"97"	2	Not Applicable	Not Applicable
	"2006"	"2006"	"98 years"	"98"	5	Not Applicable	Not Applicable
	"2006"	"2006"	"99 years"	"99"	2	Not Applicable	Not Applicable
	"2006"	"2006"	"100+ years"	"100"	5	Not Applicable	Not Applicable
	"2006"	"2006"	"Not Stated"	"NS"	3	Not Applicable	Not Applicable
	"2007"	"2007"	"< 1 year"	"0"	0	2210644	Unreliable
	"2007"	"2007"	"1 year"	"1"	0	2168941	Unreliable
	"2007"	"2007"	"2 years"	"2"	0	2181864	Unreliable
	"2007"	"2007"	"3 years"	"3"	0	2234180	Unreliable
	"2007"	"2007"	"4 years"	"4"	0	2239780	Unreliable
	"2007"	"2007"	"5 years"	"5"	0	2244272	Unreliable
	"2007"	"2007"	"6 years"	"6"	0	2291448	Unreliable
	"2007"	"2007"	"7 years"	"7"	1	2254713	Unreliable
	"2007"	"2007"	"8 years"	"8"	0	2260628	Unreliable
	"2007"	"2007"	"9 years"	"9"	1	2272938	Unreliable
	"2007"	"2007"	"10 years"	"10"	3	2366485	Unreliable
	"2007"	"2007"	"11 years"	"11"	9	2395819	Unreliable
	"2007"	"2007"	"12 years"	"12"	16	2450700	Unreliable
	"2007"	"2007"	"13 years"	"13"	25	2461885	1.0
	"2007"	"2007"	"14 years"	"14"	52	2503236	2.1
	"2007"	"2007"	"15 years"	"15"	111	2581675	4.3
	"2007"	"2007"	"16 years"	"16"	173	2650743	6.5
	"2007"	"2007"	"17 years"	"17"	188	2705011	7.0
	"2007"	"2007"	"18 years"	"18"	270	2637889	10.2
	"2007"	"2007"	"19 years"	"19"	288	2607303	11.0
	"2007"	"2007"	"20 years"	"20"	319	2561103	12.5
	"2007"	"2007"	"21 years"	"21"	388	2578289	15.0
	"2007"	"2007"	"22 years"	"22"	425	2569517	16.5
	"2007"	"2007"	"23 years"	"23"	373	2491761	15.0
	"2007"	"2007"	"24 years"	"24"	397	2511332	15.8
	"2007"	"2007"	"25 years"	"25"	408	2522361	16.2
	"2007"	"2007"	"26 years"	"26"	421	2522179	16.7
	"2007"	"2007"	"27 years"	"27"	357	2505016	14.3
	"2007"	"2007"	"28 years"	"28"	366	2373100	15.4
	"2007"	"2007"	"29 years"	"29"	394	2270220	17.4
	"2007"	"2007"	"30 years"	"30"	359	2285225	15.7
	"2007"	"2007"	"31 years"	"31"	358	2183551	16.4
	"2007"	"2007"	"32 years"	"32"	402	2310342	17.4
	"2007"	"2007"	"33 years"	"33"	388	2246869	17.3
	"2007"	"2007"	"34 years"	"34"	439	2314978	19.0
	"2007"	"2007"	"35 years"	"35"	461	2497018	18.5
	"2007"	"2007"	"36 years"	"36"	491	2708677	18.1
